timestamp,open,high,low,close,volume
2025-03-14 00:00:00+00:00,2.1704,2.1947,2.1704,2.1947,1347.2
2025-03-14 01:00:00+00:00,2.1789,2.2021,2.1789,2.2021,113.2
2025-03-14 02:00:00+00:00,2.1885,2.1947,2.1885,2.1947,154.1
2025-03-14 03:00:00+00:00,2.1864,2.1883,2.1665,2.1728,237.2
2025-03-14 04:00:00+00:00,2.1747,2.179,2.1647,2.1647,4030.0
2025-03-14 05:00:00+00:00,2.1705,2.1705,2.1705,2.1705,11.1
2025-03-14 06:00:00+00:00,2.1678,2.1678,2.1665,2.1665,256.8
2025-03-14 07:00:00+00:00,2.1707,2.1946,2.1692,2.1946,270.0
2025-03-14 08:00:00+00:00,2.1837,2.2175,2.1837,2.2175,493.7
2025-03-14 09:00:00+00:00,2.2122,2.23,2.206,2.2098,3537.6
2025-03-14 10:00:00+00:00,2.2115,2.241,2.2067,2.2316,868.0
2025-03-14 11:00:00+00:00,2.2323,2.2394,2.2323,2.2394,91.8
2025-03-14 12:00:00+00:00,2.2322,2.2467,2.2322,2.2467,47.8
2025-03-14 13:00:00+00:00,2.2392,2.261,2.2352,2.261,111.0
2025-03-14 14:00:00+00:00,2.2409,2.2743,2.2409,2.2702,6562.1
2025-03-14 15:00:00+00:00,2.2702,2.3835,2.2702,2.35,8095.9
2025-03-14 16:00:00+00:00,2.3396,2.3614,2.3075,2.3614,297.7
2025-03-14 17:00:00+00:00,2.3644,2.3644,2.3341,2.3394,159.7
2025-03-14 18:00:00+00:00,2.3562,2.3562,2.3438,2.3543,137.4
2025-03-14 19:00:00+00:00,2.3543,2.3752,2.3543,2.3607,18934.5
2025-03-14 20:00:00+00:00,2.3439,2.3439,2.3197,2.333,206.5
2025-03-14 21:00:00+00:00,2.337,2.337,2.3176,2.3225,10253.4
2025-03-14 22:00:00+00:00,2.3442,2.3608,2.3442,2.3608,7146.5
2025-03-14 23:00:00+00:00,2.3383,2.3437,2.3225,2.3225,77.3
2025-03-15 00:00:00+00:00,2.3271,2.336,2.3271,2.336,167.8
2025-03-15 01:00:00+00:00,2.336,2.336,2.3332,2.3332,223.9
2025-03-15 02:00:00+00:00,2.3526,2.3526,2.3526,2.3526,32.8
2025-03-15 03:00:00+00:00,2.36,2.38,2.36,2.38,2448.4
2025-03-15 04:00:00+00:00,2.3812,2.4041,2.3648,2.3866,924.5
2025-03-15 05:00:00+00:00,2.4032,2.4211,2.4004,2.4004,17374.5
2025-03-15 06:00:00+00:00,2.3811,2.3811,2.3692,2.3692,17298.2
2025-03-15 07:00:00+00:00,2.3633,2.3633,2.3452,2.3452,135.2
2025-03-15 08:00:00+00:00,2.3409,2.3523,2.3369,2.3522,244.9
2025-03-15 09:00:00+00:00,2.3394,2.3433,2.3394,2.3433,85.5
2025-03-15 10:00:00+00:00,2.3431,2.3461,2.3258,2.3258,89.2
2025-03-15 11:00:00+00:00,2.3237,2.3237,2.3055,2.3175,188.0
2025-03-15 12:00:00+00:00,2.3316,2.3385,2.3253,2.3311,6308.4
2025-03-15 13:00:00+00:00,2.3408,2.3614,2.3408,2.3614,383.4
2025-03-15 14:00:00+00:00,2.3591,2.3672,2.3546,2.3547,1960.3
2025-03-15 15:00:00+00:00,2.3618,2.3658,2.3612,2.3658,787.4
2025-03-15 16:00:00+00:00,2.3673,2.3761,2.3621,2.3761,63.3
2025-03-15 17:00:00+00:00,2.3638,2.3645,2.3619,2.3645,329.7
2025-03-15 18:00:00+00:00,2.3457,2.346,2.339,2.346,290.8
2025-03-15 19:00:00+00:00,2.3381,2.3533,2.3381,2.3533,101.5
2025-03-15 20:00:00+00:00,2.3728,2.3732,2.3728,2.3732,189.0
2025-03-15 21:00:00+00:00,2.3738,2.3792,2.3655,2.3748,280.0
2025-03-15 22:00:00+00:00,2.3726,2.3726,2.3496,2.3587,32.3
2025-03-15 23:00:00+00:00,2.3555,2.3562,2.354,2.3553,1107.4
2025-03-16 00:00:00+00:00,2.3457,2.3568,2.3457,2.3568,75.9
2025-03-16 01:00:00+00:00,2.3549,2.3549,2.3258,2.3298,62.0
2025-03-16 02:00:00+00:00,2.3314,2.3314,2.3197,2.3252,2138.8
2025-03-16 03:00:00+00:00,2.3213,2.332,2.3213,2.3319,1094.3
2025-03-16 04:00:00+00:00,2.3441,2.3441,2.344,2.344,1718.3
2025-03-16 05:00:00+00:00,2.3379,2.3526,2.3379,2.3487,1760.7
2025-03-16 06:00:00+00:00,2.3425,2.3425,2.3387,2.3387,2.9
2025-03-16 07:00:00+00:00,2.3225,2.3343,2.3153,2.3343,373.0
2025-03-16 08:00:00+00:00,2.338,2.338,2.3198,2.3216,71.0
2025-03-16 09:00:00+00:00,2.3196,2.3196,2.3055,2.306,395.0
2025-03-16 10:00:00+00:00,2.3021,2.3021,2.2911,2.2911,137.1
2025-03-16 11:00:00+00:00,2.2882,2.2882,2.2278,2.2278,24169.0
2025-03-16 12:00:00+00:00,2.2401,2.2483,2.2361,2.2455,382.6
2025-03-16 13:00:00+00:00,2.247,2.247,2.2165,2.2165,420.4
2025-03-16 14:00:00+00:00,2.2218,2.2281,2.2114,2.2114,1791.8
2025-03-16 15:00:00+00:00,2.2286,2.2314,2.2274,2.2274,110.0
