timestamp,open,high,low,close,volume
2025-03-14 00:00:00+00:00,7.42,7.85,7.42,7.7,5.61
2025-03-14 01:00:00+00:00,7.79,7.79,7.79,7.79,2.75
2025-03-14 02:00:00+00:00,7.79,7.79,7.79,7.79,0.0
2025-03-14 03:00:00+00:00,7.83,7.83,7.83,7.83,15.01
2025-03-14 04:00:00+00:00,7.83,7.83,7.83,7.83,0.0
2025-03-14 05:00:00+00:00,7.83,7.83,7.83,7.83,0.0
2025-03-14 06:00:00+00:00,7.83,7.83,7.83,7.83,0.0
2025-03-14 07:00:00+00:00,7.83,7.83,7.83,7.83,16.0
2025-03-14 08:00:00+00:00,7.87,7.88,7.87,7.88,26.32
2025-03-14 09:00:00+00:00,7.88,7.88,7.88,7.88,0.0
2025-03-14 10:00:00+00:00,7.88,7.88,7.88,7.88,0.0
2025-03-14 11:00:00+00:00,7.88,7.88,7.88,7.88,0.0
2025-03-14 12:00:00+00:00,7.88,7.88,7.88,7.88,0.0
2025-03-14 13:00:00+00:00,7.88,7.88,7.88,7.88,0.0
2025-03-14 14:00:00+00:00,7.86,7.86,7.86,7.86,1.1
2025-03-14 15:00:00+00:00,8.08,8.09,8.08,8.09,0.38
2025-03-14 16:00:00+00:00,8.09,8.09,8.09,8.09,0.0
2025-03-14 17:00:00+00:00,8.09,8.09,8.09,8.09,0.0
2025-03-14 18:00:00+00:00,8.09,8.09,8.09,8.09,0.0
2025-03-14 19:00:00+00:00,8.09,8.09,8.09,8.09,0.0
2025-03-14 20:00:00+00:00,8.09,8.09,8.09,8.09,0.0
2025-03-14 21:00:00+00:00,7.61,7.61,7.61,7.61,1.5
2025-03-14 22:00:00+00:00,7.87,7.87,7.87,7.87,14.19
2025-03-14 23:00:00+00:00,8.08,8.08,8.08,8.08,15.38
2025-03-15 00:00:00+00:00,8.05,8.12,7.86,8.1,27.29
2025-03-15 01:00:00+00:00,8.1,8.1,8.1,8.1,0.0
2025-03-15 02:00:00+00:00,8.1,8.1,8.1,8.1,0.0
2025-03-15 03:00:00+00:00,8.1,8.1,8.1,8.1,0.0
2025-03-15 04:00:00+00:00,7.82,7.82,7.82,7.82,7.9
2025-03-15 05:00:00+00:00,7.82,7.82,7.82,7.82,15.31
2025-03-15 06:00:00+00:00,7.82,7.82,7.82,7.82,0.0
2025-03-15 07:00:00+00:00,7.82,7.82,7.82,7.82,0.0
2025-03-15 08:00:00+00:00,7.82,7.82,7.82,7.82,0.0
2025-03-15 09:00:00+00:00,7.82,7.82,7.82,7.82,0.0
2025-03-15 10:00:00+00:00,7.72,7.72,7.72,7.72,1.59
2025-03-15 11:00:00+00:00,7.72,7.72,7.72,7.72,0.0
2025-03-15 12:00:00+00:00,7.72,7.72,7.72,7.72,0.0
2025-03-15 13:00:00+00:00,8.08,8.08,8.08,8.08,13.89
2025-03-15 14:00:00+00:00,8.14,8.14,7.81,7.81,10.39
2025-03-15 15:00:00+00:00,7.81,7.81,7.81,7.81,0.0
2025-03-15 16:00:00+00:00,7.81,7.81,7.81,7.81,0.0
2025-03-15 17:00:00+00:00,7.81,7.81,7.81,7.81,0.0
2025-03-15 18:00:00+00:00,8.17,8.17,8.14,8.14,10.56
2025-03-15 19:00:00+00:00,8.14,8.14,8.14,8.14,0.0
2025-03-15 20:00:00+00:00,8.17,8.17,8.17,8.17,0.01
2025-03-15 21:00:00+00:00,8.17,8.17,8.17,8.17,0.0
2025-03-15 22:00:00+00:00,8.17,8.17,8.17,8.17,0.0
2025-03-15 23:00:00+00:00,8.17,8.17,8.17,8.17,0.0
2025-03-16 00:00:00+00:00,8.2,8.34,7.88,8.34,40.46
2025-03-16 01:00:00+00:00,8.34,8.43,8.34,8.43,0.16
2025-03-16 02:00:00+00:00,8.43,8.46,8.43,8.46,0.51
2025-03-16 03:00:00+00:00,8.46,8.46,8.46,8.46,0.0
2025-03-16 04:00:00+00:00,8.46,8.46,8.46,8.46,0.0
2025-03-16 05:00:00+00:00,8.46,8.46,8.46,8.46,0.0
2025-03-16 06:00:00+00:00,8.46,8.46,8.46,8.46,0.0
2025-03-16 07:00:00+00:00,8.46,8.46,8.46,8.46,1.19
2025-03-16 08:00:00+00:00,8.46,8.46,8.46,8.46,0.0
2025-03-16 09:00:00+00:00,8.46,8.46,8.46,8.46,0.0
2025-03-16 10:00:00+00:00,8.46,8.46,8.46,8.46,0.0
2025-03-16 11:00:00+00:00,8.46,8.46,8.46,8.46,0.0
2025-03-16 12:00:00+00:00,8.46,8.46,8.46,8.46,0.0
2025-03-16 13:00:00+00:00,8.46,8.46,8.46,8.46,0.0
