timestamp,open,high,low,close,volume,log_return,price_change_1h,price_change_6h,price_change_24h,vol_spike_ratio,price_reversal_pct,volatility_6h,volatility_24h,hl_spread_pct,upper_wick_pct
2025-11-13 11:00:00+00:00,0.18,0.18,0.1757,0.1777,167.6,,,,,,1.2777777706790105,,,2.4198086526741203,0.0
2025-11-13 12:00:00+00:00,0.1772,0.1772,0.1772,0.1772,1176.1,-0.0028176969896251207,-0.2813731007315745,,,,0.0,,,0.0,0.0
2025-11-13 13:00:00+00:00,0.1775,0.1775,0.1763,0.1763,818.3,-0.005091948767155898,-0.5079006772008898,,,,0.676056334219389,,,0.6806579655095855,0.0
2025-11-13 14:00:00+00:00,0.1752,0.1752,0.1752,0.1752,1712.3,-0.006258910901533593,-0.6239364719228702,,,,0.0,,,0.0,0.0
2025-11-13 15:00:00+00:00,0.177,0.177,0.1755,0.1755,1100.0,0.0017108644036293876,0.1712328767123239,,,,0.8474576223307486,,,0.8547008498307652,0.0
2025-11-13 16:00:00+00:00,0.1753,0.1793,0.1752,0.1752,14979.6,-0.00171086440362943,-0.17094017094017033,,,,2.2866703720765695,,,2.3401826350446155,2.2831050097996153
2025-11-13 17:00:00+00:00,0.17,0.17,0.17,0.17,1040.0,-0.030129741452029155,-2.9680365296803513,-4.333145751266166,,,0.0,1.1485993403404051,,0.0,0.0
2025-11-13 18:00:00+00:00,0.17,0.17,0.17,0.17,0.0,0.0,0.0,-4.063205417607218,,,0.0,1.176421662227722,,0.0,0.0
2025-11-13 19:00:00+00:00,0.1659,0.1659,0.1648,0.1648,209.1,-0.031065819574890487,-3.0588235294117694,-6.52297220646626,,,0.6630500261419467,1.5228680715390763,,0.6674757241051168,0.0
2025-11-13 20:00:00+00:00,0.1646,0.1648,0.1646,0.1648,291.1,0.0,0.0,-5.936073059360725,,,0.0,1.584039855311566,,0.1213592225645713,0.0
2025-11-13 21:00:00+00:00,0.1648,0.1648,0.164,0.164,2884.8,-0.004866189651172899,-0.4854368932038833,-6.552706552706544,,,0.48543689025826836,1.505969520753117,,0.48780487507435755,0.0
2025-11-13 22:00:00+00:00,0.164,0.164,0.164,0.164,0.0,0.0,0.0,-6.392694063926929,,,0.0,1.529187442470376,,0.0,0.0
2025-11-13 23:00:00+00:00,0.164,0.164,0.164,0.164,0.0,0.0,0.0,-3.529411764705881,,,0.0,1.243848918808481,,0.0,0.0
2025-11-14 00:00:00+00:00,0.1659,0.1659,0.1659,0.1659,200.0,0.011518769372200284,1.1585365853658436,-2.411764705882369,,,0.0,1.4297640472495652,,0.0,0.0
2025-11-14 01:00:00+00:00,0.1659,0.1659,0.1659,0.1659,0.0,0.0,0.0,0.6674757281553312,,,0.0,0.5458675909296752,,0.0,0.0
2025-11-14 02:00:00+00:00,0.166,0.166,0.166,0.166,3012.0,0.000602591160144514,0.060277275467157665,0.728155339805836,,,0.0,0.5439706761549522,,0.0,0.0
2025-11-14 03:00:00+00:00,0.1659,0.1659,0.1638,0.1639,269.9,-0.012731302606759346,-1.2650602409638667,-0.06097560975610872,,,1.205545502076279,0.7682046929459322,,1.2812690586865774,0.0
2025-11-14 04:00:00+00:00,0.1639,0.1639,0.1599,0.1599,2087.0,-0.02470786590987546,-2.440512507626602,-2.5000000000000133,,,2.440512492736351,1.263944593448033,,2.5015634615286864,0.0
2025-11-14 05:00:00+00:00,0.1599,0.1599,0.1599,0.1599,0.0,0.0,0.0,-2.5000000000000133,,,0.0,1.263944593448033,,0.0,0.0
2025-11-14 06:00:00+00:00,0.1599,0.1599,0.1599,0.1599,0.0,0.0,0.0,-3.616636528028938,,,0.0,1.0457267789450853,,0.0,0.0
