timestamp,open,high,low,close,volume,log_return,price_change_1h,price_change_6h,price_change_24h,vol_spike_ratio,price_reversal_pct,volatility_6h,volatility_24h,hl_spread_pct,upper_wick_pct
2025-03-14 00:00:00+00:00,88.09,88.85,88.01,88.85,2.815,,,,,,0.0,,,0.9454136184474228,0.0
2025-03-14 01:00:00+00:00,88.78,89.11,88.48,89.04,12.25,0.002136152366629156,0.21384355655600373,,,,0.07855459544294426,,,0.7075471698033692,0.07861635220036726
2025-03-14 02:00:00+00:00,89.25,89.56,89.23,89.56,1.925,0.005823084763264733,0.5840071877807773,,,,0.0,,,0.36846806609682176,0.0
2025-03-14 03:00:00+00:00,89.31,89.31,88.83,89.14,4.636,-0.0047006242121442835,-0.468959356855736,,,,0.19034822528059367,,,0.5384787973913161,0.0
2025-03-14 04:00:00+00:00,89.49,89.49,88.97,89.1,2.206,-0.00044883304164616784,-0.044873233116449196,,,,0.4358028829988183,,,0.5836139169406956,0.0
2025-03-14 05:00:00+00:00,88.8,89.2,88.52,89.01,6.062,-0.001010611505923392,-0.10101010101009056,,,,0.21300448430254224,,,0.7639591057098833,0.21345916188952155
2025-03-14 06:00:00+00:00,89.02,89.02,88.78,88.78,2.977,-0.0025873235649510238,-0.25839793281654533,-0.07878446820482887,,,0.26960233655054916,0.36981300568577413,,0.2703311556626397,0.0
2025-03-14 07:00:00+00:00,88.61,89.48,88.48,89.26,8.457,0.0053920597952347125,0.5406623113313858,0.24707996406110322,,,0.24586499776211465,0.4289068805145143,,1.120322652911491,0.2464709836405267
2025-03-14 08:00:00+00:00,89.49,90.08,89.49,90.08,1.114,0.009144705190256354,0.9186645753977096,0.5806163465832848,,,0.0,0.52369208601969,,0.6549733570087185,0.0
2025-03-14 09:00:00+00:00,89.75,90.52,89.75,90.52,18.337,0.004872656373956388,0.4884547069271772,1.5481265425173918,,,0.0,0.4583111740687167,,0.8506407423679734,0.0
2025-03-14 10:00:00+00:00,90.52,90.53,90.52,90.53,0.552,0.00011046672201235898,0.011047282368537026,1.6049382716049498,,,0.0,0.4514843794740311,,0.011046062078752519,0.0
2025-03-14 11:00:00+00:00,90.13,90.41,90.12,90.34,11.371,-0.002100957260890885,-0.20987517949850876,1.4942141332434433,,,0.07742506359829547,0.4709573807294586,,0.3210095195890878,0.07748505645253301
2025-03-14 12:00:00+00:00,90.31,90.73,90.1,90.68,12.516,0.0037564954128701065,0.37635598848793084,2.140121649020066,,,0.055108563870215,0.4006172522290722,,0.6947507719376512,0.05513895015377786
2025-03-14 13:00:00+00:00,90.75,91.16,90.33,91.12,22.34,0.0048404934995984975,0.48522276135862796,2.083800134438718,,,0.043878894251374784,0.39609512186259765,,0.9108867427468057,0.04389815627694585
2025-03-14 14:00:00+00:00,90.23,90.67,89.6,90.38,7.68,-0.008154315155793162,-0.812115891132581,0.3330373001776188,,,0.31984118230595326,0.510609574584808,,1.1838902411907153,0.320867448547021
2025-03-14 15:00:00+00:00,90.71,92.76,90.71,91.5,38.87,0.01231596829834211,1.239212215091845,1.082633672116673,,,1.3583441138275352,0.6940003972458179,,2.240437158445472,1.3770491803128246
2025-03-14 16:00:00+00:00,91.31,92.44,91.26,92.44,14.421,0.010220813124704279,1.0273224043715778,2.1097978570639553,,,0.0,0.7641265109174632,,1.2765036780476282,0.0
2025-03-14 17:00:00+00:00,92.2,92.25,91.71,91.91,3.931,-0.00574994803616188,-0.5733448723496348,1.7378791233119362,,,0.3685636856328648,0.829178512954471,,0.5875312805942019,0.054401044499459414
2025-03-14 18:00:00+00:00,92.09,92.09,92.09,92.09,0.558,0.001956522363257665,0.19584376020020944,1.554918394353777,,,0.0,0.8285925305230828,,0.0,0.0
2025-03-14 19:00:00+00:00,92.27,92.49,91.91,91.94,23.936,-0.0016301693551937985,-0.16288413508525057,0.8999122036874363,,,0.5946588820348693,0.8352381580990756,,0.6308462040392536,0.23928649118730255
2025-03-14 20:00:00+00:00,91.65,91.65,90.94,91.28,12.944,-0.0072044848242616925,-0.7178594735697152,0.9957955299845223,,,0.40370976540749315,0.8139242030302243,,0.7778264680020045,0.0
2025-03-14 21:00:00+00:00,91.55,91.7,90.96,91.04,6.639,-0.002632735175799314,-0.262927256792278,-0.5027322404371537,,,0.7197382769823328,0.630261292043757,,0.8128295254743857,0.16476274165021754
