timestamp,open,high,low,close,volume,log_return,price_change_1h,price_change_6h,price_change_24h,vol_spike_ratio,price_reversal_pct,volatility_6h,volatility_24h,hl_spread_pct,upper_wick_pct,future_return_6h,is_pump
2025-03-14 00:00:00+00:00,7.42,7.85,7.42,7.7,5.61,,,,,,1.9108280252342824,,,5.5844155836903315,1.9480519477989473,0.016883116883116944,0
2025-03-14 01:00:00+00:00,7.79,7.79,7.79,7.79,2.75,0.0116205310230187,1.1688311688311748,,,,0.0,,,0.0,0.0,0.005134788189987249,0
2025-03-14 02:00:00+00:00,7.79,7.79,7.79,7.79,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.011553273427471034,0
2025-03-14 03:00:00+00:00,7.83,7.83,7.83,7.83,15.01,0.0051216501200549,0.5134788189987249,,,,0.0,,,0.0,0.0,0.0063856960408683605,0
2025-03-14 04:00:00+00:00,7.83,7.83,7.83,7.83,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0063856960408683605,0
2025-03-14 05:00:00+00:00,7.83,7.83,7.83,7.83,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0063856960408683605,0
2025-03-14 06:00:00+00:00,7.83,7.83,7.83,7.83,0.0,0.0,0.0,1.6883116883116944,,,0.0,0.4786465703166626,,0.0,0.0,0.0063856960408683605,0
2025-03-14 07:00:00+00:00,7.83,7.83,7.83,7.83,16.0,0.0,0.0,0.5134788189987249,,,0.0,0.2090904905866461,,0.0,0.0,0.0063856960408683605,0
2025-03-14 08:00:00+00:00,7.87,7.88,7.87,7.88,26.32,0.0063653938670759,0.638569604086836,1.1553273427471034,,,0.0,0.2991906051607234,,0.1269035532833851,0.0,-0.0025380710659898,0
2025-03-14 09:00:00+00:00,7.88,7.88,7.88,7.88,0.0,0.0,0.0,0.638569604086836,,,0.0,0.2598661164362906,,0.0,0.0,0.026649746192893398,0
2025-03-14 10:00:00+00:00,7.88,7.88,7.88,7.88,0.0,0.0,0.0,0.638569604086836,,,0.0,0.2598661164362906,,0.0,0.0,0.026649746192893398,0
2025-03-14 11:00:00+00:00,7.88,7.88,7.88,7.88,0.0,0.0,0.0,0.638569604086836,,,0.0,0.2598661164362906,,0.0,0.0,0.026649746192893398,0
2025-03-14 12:00:00+00:00,7.88,7.88,7.88,7.88,0.0,0.0,0.0,0.638569604086836,,,0.0,0.2598661164362906,,0.0,0.0,0.026649746192893398,0
2025-03-14 13:00:00+00:00,7.88,7.88,7.88,7.88,0.0,0.0,0.0,0.638569604086836,,,0.0,0.2598661164362906,,0.0,0.0,0.026649746192893398,0
2025-03-14 14:00:00+00:00,7.86,7.86,7.86,7.86,1.1,-0.0025412974286725,-0.25380710659898,-0.25380710659898,,,0.0,0.1037480330815771,,0.0,0.0,0.029262086513994756,0
2025-03-14 15:00:00+00:00,8.08,8.09,8.08,8.09,0.38,0.0288421246292849,2.9262086513994756,2.66497461928934,,,0.0,1.202528525382612,,0.1236093942986859,0.0,-0.05933250927070455,0
2025-03-14 16:00:00+00:00,8.09,8.09,8.09,8.09,0.0,0.0,0.0,2.66497461928934,,,0.0,1.202528525382612,,0.0,0.0,-0.027194066749072876,0
2025-03-14 17:00:00+00:00,8.09,8.09,8.09,8.09,0.0,0.0,0.0,2.66497461928934,,,0.0,1.202528525382612,,0.0,0.0,-0.0012360939431396156,0
2025-03-14 18:00:00+00:00,8.09,8.09,8.09,8.09,0.0,0.0,0.0,2.66497461928934,,,0.0,1.202528525382612,,0.0,0.0,0.0012360939431397266,0
2025-03-14 19:00:00+00:00,8.09,8.09,8.09,8.09,0.0,0.0,0.0,2.66497461928934,,,0.0,1.202528525382612,,0.0,0.0,0.0012360939431397266,0
2025-03-14 20:00:00+00:00,8.09,8.09,8.09,8.09,0.0,0.0,0.0,2.9262086513994756,,,0.0,1.1774748073251275,,0.0,0.0,0.0012360939431397266,0
2025-03-14 21:00:00+00:00,7.61,7.61,7.61,7.61,1.5,-0.0611655591968058,-5.933250927070455,-5.933250927070455,,,0.0,2.497073497736219,,0.0,0.0,0.06438896189224685,0
2025-03-14 22:00:00+00:00,7.87,7.87,7.87,7.87,14.19,0.0335948905557173,3.41655716162943,-2.7194066749072876,,,0.0,3.079984418279569,,0.0,0.0,-0.006353240152477735,0
2025-03-14 23:00:00+00:00,8.08,8.08,8.08,8.08,15.38,0.026333810103692,2.668360864040653,-0.1236093943139615,,3.7573289893100985,0.0,3.335582973947926,,0.0,0.0,-0.03217821782178221,0
2025-03-15 00:00:00+00:00,8.05,8.12,7.86,8.1,27.29,0.002472189145389,0.2475247524752477,0.1236093943139726,5.1948051948051965,5.461641092969651,0.2463054186888734,3.3374149387726133,1.6814421928323968,3.209876542813582,0.2469135802164251,-0.03456790123456788,0
2025-03-15 01:00:00+00:00,8.1,8.1,8.1,8.1,0.0,0.0,0.0,0.1236093943139726,3.979460847240057,0.0,0.0,3.3374149387726133,1.669554618242431,0.0,0.0,-0.03456790123456788,0
2025-03-15 02:00:00+00:00,8.1,8.1,8.1,8.1,0.0,0.0,0.0,0.1236093943139726,3.979460847240057,0.0,0.0,3.3374149387726133,1.669554618242431,0.0,0.0,-0.03456790123456788,0
2025-03-15 03:00:00+00:00,8.1,8.1,8.1,8.1,0.0,0.0,0.0,6.438896189224685,3.44827586206895,0.0,0.0,1.535720962367027,1.6681648375838367,0.0,0.0,-0.03456790123456788,0
2025-03-15 04:00:00+00:00,7.82,7.82,7.82,7.82,7.9,-0.0351795071211733,-3.4567901234567877,-0.6353240152477735,-0.1277139208173627,1.7226967105093156,0.0,1.9648962964682437,1.82801838950237,0.0,0.0,-0.01278772378516635,0
2025-03-15 05:00:00+00:00,7.82,7.82,7.82,7.82,15.31,0.0,0.0,-3.2178217821782207,-0.1277139208173627,2.9308446991278596,0.0,1.4597360484674995,1.82801838950237,0.0,0.0,-0.01278772378516635,0
2025-03-15 06:00:00+00:00,7.82,7.82,7.82,7.82,0.0,0.0,0.0,-3.4567901234567877,-0.1277139208173627,0.0,0.0,1.4361973641580312,1.82801838950237,0.0,0.0,-0.01278772378516635,0
2025-03-15 07:00:00+00:00,7.82,7.82,7.82,7.82,0.0,0.0,0.0,-3.4567901234567877,-0.1277139208173627,0.0,0.0,1.4361973641580312,1.82801838950237,0.0,0.0,0.03324808184143224,0
2025-03-15 08:00:00+00:00,7.82,7.82,7.82,7.82,0.0,0.0,0.0,-3.4567901234567877,-0.761421319796951,0.0,0.0,1.4361973641580312,1.8229113652243696,0.0,0.0,-0.0012787723785167016,0
2025-03-15 09:00:00+00:00,7.82,7.82,7.82,7.82,0.0,0.0,0.0,-3.4567901234567877,-0.761421319796951,0.0,0.0,1.4361973641580312,1.8229113652243696,0.0,0.0,-0.0012787723785167016,0
2025-03-15 10:00:00+00:00,7.72,7.72,7.72,7.72,1.59,-0.012870190520535,-1.278772378516635,-1.278772378516635,-2.0304568527918843,0.4508506614978684,0.0,0.5254233277952641,1.8407767610533927,0.0,0.0,0.011658031088082943,0
2025-03-15 11:00:00+00:00,7.72,7.72,7.72,7.72,0.0,0.0,0.0,-1.278772378516635,-2.0304568527918843,0.0,0.0,0.5254233277952641,1.8407767610533927,0.0,0.0,0.011658031088082943,0
2025-03-15 12:00:00+00:00,7.72,7.72,7.72,7.72,0.0,0.0,0.0,-1.278772378516635,-2.0304568527918843,0.0,0.0,0.5254233277952641,1.8407767610533927,0.0,0.0,0.0544041450777204,0
2025-03-15 13:00:00+00:00,8.08,8.08,8.08,8.08,13.89,0.0455775084963191,4.663212435233155,3.324808184143224,2.538071065989844,3.383335024041408,0.0,2.032071017413223,2.070719642146037,0.0,0.0,0.007425742574257432,0
2025-03-15 14:00:00+00:00,8.14,8.14,7.81,7.81,10.39,-0.0339869086814094,-3.341584158415845,-0.1278772378516701,-0.6361323155216425,2.312743460809629,4.054054053556024,2.6068326200287806,2.190419218151846,4.225352112135051,0.0,0.04609475032010257,0
2025-03-15 15:00:00+00:00,7.81,7.81,7.81,7.81,0.0,0.0,0.0,-0.1278772378516701,-3.4610630407911014,0.0,0.0,2.6068326200287806,2.1010748737203864,0.0,0.0,0.04609475032010257,0
2025-03-15 16:00:00+00:00,7.81,7.81,7.81,7.81,0.0,0.0,0.0,1.1658031088082943,-3.4610630407911014,0.0,0.0,2.533783301089083,2.1010748737203864,0.0,0.0,0.04609475032010257,0
2025-03-15 17:00:00+00:00,7.81,7.81,7.81,7.81,0.0,0.0,0.0,1.1658031088082943,-3.4610630407911014,0.0,0.0,2.533783301089083,2.1010748737203864,0.0,0.0,0.04609475032010257,0
2025-03-15 18:00:00+00:00,8.17,8.17,8.14,8.14,10.56,0.0413852161628544,4.225352112676073,5.44041450777204,0.6180469715698411,2.1477966097326515,0.3671970623785482,2.9924624797018637,2.276174961863348,0.3685503685050842,0.0,0.02457002457002444,0
2025-03-15 19:00:00+00:00,8.14,8.14,8.14,8.14,0.0,0.0,0.0,0.7425742574257432,0.6180469715698411,0.0,0.0,2.3911183936809386,2.276174961863348,0.0,0.0,0.035626535626535505,0
2025-03-15 20:00:00+00:00,8.17,8.17,8.17,8.17,0.01,0.0036787288574625,0.3685503685503688,4.609475032010257,0.9888751545117368,0.0020337259550139,0.0,1.666018791042822,2.277232966437167,0.0,0.0,0.03549571603427193,0
2025-03-15 21:00:00+00:00,8.17,8.17,8.17,8.17,0.0,0.0,0.0,4.609475032010257,7.358738501971085,0.0,0.0,1.666018791042822,1.8626827618390895,0.0,0.0,0.03549571603427193,0
2025-03-15 22:00:00+00:00,8.17,8.17,8.17,8.17,0.0,0.0,0.0,4.609475032010257,3.811944091486663,0.0,0.0,1.666018791042822,1.7449546808691196,0.0,0.0,0.03549571603427193,0
2025-03-15 23:00:00+00:00,8.17,8.17,8.17,8.17,0.0,0.0,0.0,4.609475032010257,1.1138613861386035,0.0,0.0,1.666018791042822,1.6632769017308284,0.0,0.0,0.03549571603427193,0
2025-03-16 00:00:00+00:00,8.2,8.34,7.88,8.34,40.46,0.0205943074987437,2.080783353733162,2.457002457002444,2.9629629629629672,9.69973029434828,0.0,0.8239682417438874,1.71318782723635,5.515587529314677,0.0,0.014388489208633226,0
2025-03-16 01:00:00+00:00,8.34,8.43,8.34,8.43,0.16,0.0107335556431086,1.0791366906474753,3.5626535626535505,4.074074074074074,0.0382965991730415,0.0,0.8350139921408515,1.7238506053847666,1.067615658236343,0.0,0.003558718861210064,0
2025-03-16 02:00:00+00:00,8.43,8.46,8.43,8.46,0.51,0.0035524016043679,0.3558718861210064,3.549571603427193,4.444444444444451,0.1214526691514698,0.0,0.8356819137217654,1.7238849472182545,0.3546099290361115,0.0,0.0,0
2025-03-16 03:00:00+00:00,8.46,8.46,8.46,8.46,0.0,0.0,0.0,3.549571603427193,4.444444444444451,0.0,0.0,0.8356819137217654,1.7238849472182545,0.0,0.0,0.0,0
2025-03-16 04:00:00+00:00,8.46,8.46,8.46,8.46,0.0,0.0,0.0,3.549571603427193,8.184143222506401,0.0,0.0,0.8356819137217654,1.5348765784909604,0.0,0.0,0.0,0
2025-03-16 05:00:00+00:00,8.46,8.46,8.46,8.46,0.0,0.0,0.0,3.549571603427193,8.184143222506401,0.0,0.0,0.8356819137217654,1.5348765784909604,0.0,0.0,0.0,0
2025-03-16 06:00:00+00:00,8.46,8.46,8.46,8.46,0.0,0.0,0.0,1.4388489208633226,8.184143222506401,0.0,0.0,0.4331605048700466,1.5348765784909604,0.0,0.0,0.0,0
2025-03-16 07:00:00+00:00,8.46,8.46,8.46,8.46,1.19,0.0,0.0,0.3558718861210064,8.184143222506401,0.3626206194933609,0.0,0.1450261882024273,1.5348765784909604,0.0,0.0,0.0,0
2025-03-16 08:00:00+00:00,8.46,8.46,8.46,8.46,0.0,0.0,0.0,0.0,8.184143222506401,0.0,0.0,0.0,1.5348765784909604,0.0,0.0,-0.08510638297872342,0
2025-03-16 09:00:00+00:00,8.46,8.46,8.46,8.46,0.0,0.0,0.0,0.0,8.184143222506401,0.0,0.0,0.0,1.5348765784909604,0.0,0.0,-0.09692671394799068,0
2025-03-16 10:00:00+00:00,8.46,8.46,8.46,8.46,0.0,0.0,0.0,0.0,9.585492227979287,0.0,0.0,0.0,1.4980470557728534,0.0,0.0,-0.09692671394799068,0
2025-03-16 11:00:00+00:00,8.46,8.46,8.46,8.46,0.0,0.0,0.0,0.0,9.585492227979287,0.0,0.0,0.0,1.4980470557728534,0.0,0.0,-0.09692671394799068,0
2025-03-16 12:00:00+00:00,8.46,8.46,8.46,8.46,0.0,0.0,0.0,0.0,9.585492227979287,0.0,0.0,0.0,1.4980470557728534,0.0,0.0,-0.09692671394799068,0
